timestamp|paslon_01|paslon_02|c1_url|pemilih_terdaftar|jumlah_suara_sah|pengguna_hak_pilih|jumlah_suara|jumlah_suara_tdk_sah|tps|kelurahan|kecamatan|kabupaten|wilayah|b+c+i|checker o|b+c|checker q
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE BAGOK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|ALUE BAGOK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE BATEE|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|ALUE SUNDAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
4/20/2019 20:15|37|132|https://pemilu2019.kpu.go.id/img/c/900/003/900003514/1673-1-C-XXX-X5.jpg, https://pemilu2019.kpu.go.id/img/c/900/003/900003514/1673-1-C-XXX-X6.jpg|194|169|171|171|2|TPS 1|ARONGAN|ARONGAN LAMBALEK|ACEH BARAT|ACEH|171|0|169|0
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT BULOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|COT BULOH|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT JURUMUDI|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|COT KUMBANG|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|DRIEN RAMPAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|DRIEN RAMPAK|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|GUNONG PULO|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KARANG HAMPA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KEUB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KEUB|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|KUBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 2|KUBU|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANTE MEUTIA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
NA|NA|NA|NA|NA|NA|NA|NA|NA|TPS 1|PANTON BAHAGIA|ARONGAN LAMBALEK|ACEH BARAT|ACEH||||
